zip,price,station,route
95358,2.05,MOD,MOD01-003
95367,2.05,MOD,MOD01-002
95354,2.05,MOD,MOD01-004
95322,2.15,MOD,MOD01-001
95360,2.15,MOD,MOD01-001
95334,2.05,MOD,MOD01-001
95368,2.05,MOD,MOD01-002
95357,2.05,MOD,MOD01-002
95315,2.05,MOD,MOD01-001
95320,2.15,MOD,MOD01-002
95386,2.15,MOD,MOD01-004
95326,2.05,MOD,MOD01-004
95316,2.15,MOD,MOD01-003
95324,2.05,MOD,MOD01-001
95328,2.05,MOD,MOD01-004
95319,2.05,MOD,MOD01-004
95374,2.05,MOD,MOD01-001
95313,2.05,MOD,MOD01-001
95323,2.15,MOD,MOD01-004
95303,2.05,MOD,MOD01-003
89436,2.25,RNO,RNO01-006
89506,2.25,RNO,RNO01-009
89502,2.25,RNO,RNO01-002
89521,2.25,RNO,RNO01-007
89431,2.25,RNO,RNO01-001
89408,2.25,RNO,RNO01-003
89523,2.25,RNO,RNO01-004
89701,2.25,RNO,RNO01-008
89503,2.25,RNO,RNO01-004
89511,2.25,RNO,RNO01-007
89434,2.25,RNO,RNO01-002
89512,2.25,RNO,RNO01-009
89433,2.25,RNO,RNO01-001
89509,2.25,RNO,RNO01-004
89706,2.3,RNO,RNO01-008
89403,2.25,RNO,RNO01-003
96150,2.35,RNO,RNO01-005
89441,2.25,RNO,RNO01-006
89423,2.35,RNO,RNO01-008
89508,2.25,RNO,RNO01-009
89460,2.35,RNO,RNO01-008
89429,2.3,RNO,RNO01-003
89703,2.25,RNO,RNO01-008
89451,2.35,RNO,RNO01-005
89519,2.25,RNO,RNO01-002
89705,2.3,RNO,RNO01-008
89704,2.25,RNO,RNO01-008
89439,2.25,RNO,RNO01-004
89449,2.35,RNO,RNO01-005
96143,2.35,RNO,RNO01-005
89440,2.25,RNO,RNO01-003
89428,2.25,RNO,RNO01-003
89448,2.35,RNO,RNO01-005
96003,2.3,RDG,RDG01-004
95973,2.3,RDG,RDG01-002
96002,2.3,RDG,RDG01-004
96001,2.3,RDG,RDG01-001
95926,2.3,RDG,RDG01-002
95928,2.3,RDG,RDG01-002
96007,2.3,RDG,RDG01-001
96021,2.3,RDG,RDG01-003
95963,2.3,RDG,RDG01-003
95988,2.3,RDG,RDG01-003
96055,2.3,RDG,RDG01-002
95951,2.3,RDG,RDG01-002
97504,2.05,MFR,MFR01-001
97501,2.05,MFR,MFR01-001
97527,2.05,MFR,MFR01-002
97526,2.05,MFR,MFR01-002
97502,2.05,MFR,MFR01-001
97520,2.05,MFR,MFR01-001
97503,2.05,MFR,MFR01-001
97540,2.05,MFR,MFR01-001
97535,2.05,MFR,MFR01-001
